House age,Distance to the nearest MRT station,Number of convenience stores, latitude, longitude,house price of unit area,Date,Market_segment
14.8,393.2606,6,24.96172,121.53812,7.6,4/24/2018,Online TA
30.6,143.8383,8,24.98155,121.54142,53.3,4/25/2018,Online TA
20.6,737.9161,2,24.98092,121.54739,46.4,4/26/2018,Online TA
30.9,6396.283,1,24.94375,121.47883,12.2,4/27/2018,Offline TA/TO
13.6,4197.349,0,24.93885,121.50383,13,4/28/2018,Offline TA/TO
25.3,1583.722,3,24.96622,121.51709,30.6,4/29/2018,Direct
16.6,289.3248,5,24.98203,121.54348,59.6,4/30/2018,Online TA
13.3,492.2313,5,24.96515,121.53737,31.3,5/1/2018,Offline TA/TO
13.6,492.2313,5,24.96515,121.53737,48,5/2/2018,Online TA
31.5,414.9476,4,24.98199,121.54464,32.5,5/3/2018,Direct
0,185.4296,0,24.9711,121.5317,45.5,5/4/2018,Online TA
9.9,279.1726,7,24.97528,121.54541,57.4,5/5/2018,Online TA
1.1,193.5845,6,24.96571,121.54089,48.6,5/6/2018,Complementary
38.6,804.6897,4,24.97838,121.53477,62.9,5/7/2018,Online TA
3.8,383.8624,5,24.98085,121.54391,55,5/8/2018,Online TA
41.3,124.9912,6,24.96674,121.54039,60.7,5/9/2018,Online TA
38.5,216.8329,7,24.98086,121.54162,41,5/10/2018,Online TA
29.6,535.527,8,24.98092,121.53653,37.5,5/11/2018,Online TA
4,2147.376,3,24.96299,121.51284,30.7,5/12/2018,Online TA
26.6,482.7581,5,24.97433,121.53863,37.5,5/13/2018,Online TA
18,373.3937,8,24.9866,121.54082,39.5,5/14/2018,Online TA
33.4,186.9686,6,24.96604,121.54211,42.2,5/15/2018,Online TA
18.9,1009.235,0,24.96357,121.54951,20.8,5/16/2018,Online TA
11.4,390.5684,5,24.97937,121.54245,46.8,5/17/2018,Online TA
13.6,319.0708,6,24.96495,121.54277,47.4,5/18/2018,Online TA
10,942.4664,0,24.97843,121.52406,43.5,5/19/2018,Online TA
12.9,492.2313,5,24.96515,121.53737,42.5,5/20/2018,Direct
16.2,289.3248,5,24.98203,121.54348,51.4,5/21/2018,Online TA
5.1,1559.827,3,24.97213,121.51627,28.9,5/22/2018,Online TA
19.8,640.6071,5,24.97017,121.54647,37.5,5/23/2018,Online TA
13.6,492.2313,5,24.96515,121.53737,40.1,5/24/2018,Offline TA/TO
11.9,1360.139,1,24.95204,121.54842,28.4,5/25/2018,Online TA
2.1,451.2438,5,24.97563,121.54694,45.5,5/26/2018,Online TA
0,185.4296,0,24.9711,121.5317,52.2,5/27/2018,Online TA
3.2,489.8821,8,24.97017,121.54494,43.2,5/28/2018,Online TA
16.4,3780.59,0,24.93293,121.51203,45.1,5/29/2018,Online TA
34.9,179.4538,8,24.97349,121.54245,39.7,5/30/2018,Offline TA/TO
35.8,170.7311,7,24.96719,121.54269,48.5,5/31/2018,Direct
4.9,387.7721,9,24.98118,121.53788,44.7,6/1/2018,Online TA
12,1360.139,1,24.95204,121.54842,28.9,6/2/2018,Online TA
6.5,376.1709,6,24.95418,121.53713,40.9,6/3/2018,Offline TA/TO
16.9,4066.587,0,24.94297,121.50342,20.7,6/4/2018,Online TA
13.8,4082.015,0,24.94155,121.50381,15.6,6/5/2018,Offline TA/TO
30.7,1264.73,0,24.94883,121.52954,18.3,6/6/2018,Direct
16.1,815.9314,4,24.97886,121.53464,35.6,6/7/2018,Offline TA/TO
11.6,390.5684,5,24.97937,121.54245,39.4,6/8/2018,Offline TA/TO
15.5,815.9314,4,24.97886,121.53464,37.4,6/9/2018,Offline TA/TO
3.5,49.66105,8,24.95836,121.53756,57.8,6/10/2018,Online TA
19.2,616.4004,3,24.97723,121.53767,39.6,6/11/2018,Online TA
16,4066.587,0,24.94297,121.50342,11.6,6/12/2018,Online TA
8.5,104.8101,5,24.96674,121.54067,55.5,6/13/2018,Offline TA/TO
0,185.4296,0,24.9711,121.5317,55.2,6/14/2018,Direct
13.7,1236.564,1,24.97694,121.55391,30.6,6/15/2018,Online TA
0,292.9978,6,24.97744,121.54458,73.6,6/16/2018,Online TA
28.2,330.0854,8,24.97408,121.54011,43.4,6/17/2018,Online TA
27.6,515.1122,5,24.96299,121.5432,37.4,6/18/2018,Direct
8.4,1962.628,1,24.95468,121.55481,23.5,6/19/2018,Direct
24,4527.687,0,24.94741,121.49628,14.4,6/20/2018,Online TA
3.6,383.8624,5,24.98085,121.54391,58.8,6/21/2018,Online TA
6.6,90.45606,9,24.97433,121.5431,58.1,6/22/2018,Online TA
41.3,401.8807,4,24.98326,121.5446,35.1,6/23/2018,Online TA
4.3,432.0385,7,24.9805,121.53778,45.2,6/24/2018,Offline TA/TO
30.2,472.1745,3,24.97005,121.53758,36.5,6/25/2018,Online TA
13.9,4573.779,0,24.94867,121.49507,19.2,6/26/2018,Online TA
33,181.0766,9,24.97697,121.54262,42,6/27/2018,Direct
13.1,1144.436,4,24.99176,121.53456,36.7,6/28/2018,Online TA
14,438.8513,1,24.97493,121.5273,42.6,6/29/2018,Online TA
26.9,4449.27,0,24.94898,121.49621,15.5,6/30/2018,Online TA
11.6,201.8939,8,24.98489,121.54121,55.9,7/1/2018,Offline TA/TO
13.5,2147.376,3,24.96299,121.51284,23.6,7/2/2018,Offline TA/TO
17,4082.015,0,24.94155,121.50381,18.8,7/3/2018,Online TA
14.1,2615.465,0,24.95495,121.56174,21.8,7/4/2018,Online TA
31.4,1447.286,3,24.97285,121.5173,21.5,7/5/2018,Offline TA/TO
20.9,2185.128,3,24.96322,121.51237,25.7,7/6/2018,Offline TA/TO
8.9,3078.176,0,24.95464,121.56627,22,7/7/2018,Direct
34.8,190.0392,8,24.97707,121.54312,44.3,7/8/2018,Offline TA/TO
16.3,4066.587,0,24.94297,121.50342,20.5,7/9/2018,Direct
35.3,616.5735,8,24.97945,121.53642,42.3,7/10/2018,Offline TA/TO
13.2,750.0704,2,24.97371,121.54951,37.8,7/11/2018,Offline TA/TO
43.8,57.58945,7,24.9675,121.54069,42.7,7/12/2018,Offline TA/TO
9.7,421.479,5,24.98246,121.54477,49.3,7/13/2018,Online TA
15.2,3771.895,0,24.93363,121.51158,29.3,7/14/2018,Online TA
15.2,461.1016,5,24.95425,121.5399,34.6,7/15/2018,Direct
22.8,707.9067,2,24.981,121.54713,36.6,7/16/2018,Direct
34.4,126.7286,8,24.96881,121.54089,48.2,7/17/2018,Online TA
34,157.6052,7,24.96628,121.54196,39.1,7/18/2018,Online TA
18.2,451.6419,8,24.96945,121.5449,31.6,7/19/2018,Direct
17.4,995.7554,0,24.96305,121.54915,25.5,7/20/2018,Online TA
13.1,561.9845,5,24.98746,121.54391,45.9,7/21/2018,Online TA
38.3,642.6985,3,24.97559,121.53713,31.5,7/22/2018,Online TA
15.6,289.3248,5,24.98203,121.54348,46.1,7/23/2018,Offline TA/TO
18,1414.837,1,24.95182,121.54887,26.6,7/24/2018,Direct
12.8,1449.722,3,24.97289,121.51728,21.4,7/25/2018,Offline TA/TO
22.2,379.5575,10,24.98343,121.53762,44,7/26/2018,Online TA
38.5,665.0636,3,24.97503,121.53692,34.2,7/27/2018,Offline TA/TO
11.5,1360.139,1,24.95204,121.54842,26.2,7/28/2018,Offline TA/TO
34.8,175.6294,8,24.97347,121.54271,40.9,7/29/2018,Offline TA/TO
5.2,390.5684,5,24.97937,121.54245,52.2,7/30/2018,Online TA
0,274.0144,1,24.9748,121.53059,43.5,7/31/2018,Online TA
17.6,1805.665,2,24.98672,121.52091,31.1,8/1/2018,Online TA
6.2,90.45606,9,24.97433,121.5431,58,8/2/2018,Online TA
18.1,1783.18,3,24.96731,121.51486,20.9,8/3/2018,Online TA
19.2,383.7129,8,24.972,121.54477,48.1,8/4/2018,Offline TA/TO
37.8,590.9292,1,24.97153,121.53559,39.7,8/5/2018,Online TA
28,372.6242,6,24.97838,121.54119,40.8,8/6/2018,Offline TA/TO
13.6,492.2313,5,24.96515,121.53737,43.8,8/7/2018,Corporate
29.3,529.7771,8,24.98102,121.53655,40.2,8/8/2018,Corporate
37.2,186.5101,9,24.97703,121.54265,78.3,8/9/2018,Corporate
9,1402.016,0,24.98569,121.5276,38.5,8/10/2018,Direct
30.6,431.1114,10,24.98123,121.53743,48.5,8/11/2018,Direct
9.1,1402.016,0,24.98569,121.5276,42.3,8/12/2018,Offline TA/TO
34.5,324.9419,6,24.97814,121.5417,46,8/13/2018,Online TA
1.1,193.5845,6,24.96571,121.54089,49,8/14/2018,Offline TA/TO
16.5,4082.015,0,24.94155,121.50381,12.8,8/15/2018,Online TA
32.4,265.0609,8,24.98059,121.53986,40.2,8/16/2018,Direct
11.9,3171.329,0,25.00115,121.51776,46.6,8/17/2018,Online TA
31,1156.412,0,24.9489,121.53095,19,8/18/2018,Online TA
4,2147.376,3,24.96299,121.51284,33.4,8/19/2018,Online TA
16.2,4074.736,0,24.94235,121.50357,14.7,8/20/2018,Direct
27.1,4412.765,1,24.95032,121.49587,17.4,8/21/2018,Direct
39.7,333.3679,9,24.98016,121.53932,32.4,8/22/2018,Direct
8,2216.612,4,24.96007,121.51361,23.9,8/23/2018,Online TA
12.9,250.631,7,24.96606,121.54297,39.3,8/24/2018,Online TA
3.6,373.8389,10,24.98322,121.53765,61.9,8/25/2018,Online TA
13,732.8528,0,24.97668,121.52518,39,8/26/2018,Online TA
12.8,732.8528,0,24.97668,121.52518,40.6,8/27/2018,Online TA
18.1,837.7233,0,24.96334,121.54767,29.7,8/28/2018,Direct
11,1712.632,2,24.96412,121.5167,28.8,8/29/2018,Online TA
13.7,250.631,7,24.96606,121.54297,41.4,8/30/2018,Offline TA/TO
2,2077.39,3,24.96357,121.51329,33.4,8/31/2018,Offline TA/TO
32.8,204.1705,8,24.98236,121.53923,48.2,9/1/2018,Offline TA/TO
4.8,1559.827,3,24.97213,121.51627,21.7,9/2/2018,Offline TA/TO
7.5,639.6198,5,24.97258,121.54814,40.8,9/3/2018,Offline TA/TO
16.4,389.8219,6,24.96412,121.54273,40.6,9/4/2018,Online TA
21.7,1055.067,0,24.96211,121.54928,23.1,9/5/2018,Online TA
19,1009.235,0,24.96357,121.54951,22.3,9/6/2018,Direct
18,6306.153,1,24.95743,121.47516,15,9/7/2018,Online TA
39.2,424.7132,7,24.97429,121.53917,30,9/8/2018,Online TA
31.7,1159.454,0,24.9496,121.53018,13.8,9/9/2018,Online TA
5.9,90.45606,9,24.97433,121.5431,52.7,9/10/2018,Online TA
30.4,1735.595,2,24.96464,121.51623,25.9,9/11/2018,Online TA
1.1,329.9747,5,24.98254,121.54395,51.8,9/12/2018,Online TA
31.5,5512.038,1,24.95095,121.48458,17.4,9/13/2018,Online TA
14.6,339.2289,1,24.97519,121.53151,26.5,9/14/2018,Online TA
17.3,444.1334,1,24.97501,121.5273,43.9,9/15/2018,Online TA
0,292.9978,6,24.97744,121.54458,63.3,9/16/2018,Direct
17.7,837.7233,0,24.96334,121.54767,28.8,9/17/2018,Online TA
17,1485.097,4,24.97073,121.517,30.7,9/18/2018,Direct
16.2,2288.011,3,24.95885,121.51359,24.4,9/19/2018,Direct
15.9,289.3248,5,24.98203,121.54348,53,9/20/2018,Online TA
3.9,2147.376,3,24.96299,121.51284,31.7,9/21/2018,Online TA
32.6,493.657,7,24.96968,121.54522,40.6,9/22/2018,Direct
15.7,815.9314,4,24.97886,121.53464,38.1,9/23/2018,Online TA
17.8,1783.18,3,24.96731,121.51486,23.7,9/24/2018,Online TA
34.7,482.7581,5,24.97433,121.53863,41.1,9/25/2018,Direct
17.2,390.5684,5,24.97937,121.54245,40.1,9/26/2018,Online TA
17.6,837.7233,0,24.96334,121.54767,23,9/27/2018,Online TA
10.8,252.5822,1,24.9746,121.53046,117.5,9/28/2018,Offline TA/TO
17.7,451.6419,8,24.96945,121.5449,26.5,9/29/2018,Online TA
13,492.2313,5,24.96515,121.53737,40.5,9/30/2018,Offline TA/TO
13.2,170.1289,1,24.97371,121.52984,29.3,10/1/2018,Direct
27.5,394.0173,7,24.97305,121.53994,41,10/2/2018,Online TA
1.5,23.38284,7,24.96772,121.54102,49.7,10/3/2018,Online TA
19.1,461.1016,5,24.95425,121.5399,34,10/4/2018,Online TA
21.2,2185.128,3,24.96322,121.51237,27.7,10/5/2018,Online TA
0,208.3905,6,24.95618,121.53844,44,10/6/2018,Online TA
2.6,1554.25,3,24.97026,121.51642,31.1,10/7/2018,Online TA
2.3,184.3302,6,24.96581,121.54086,45.4,10/8/2018,Offline TA/TO
4.7,387.7721,9,24.98118,121.53788,44.8,10/9/2018,Online TA
2,1455.798,1,24.9512,121.549,25.6,10/10/2018,Direct
33.5,1978.671,2,24.98674,121.51844,23.5,10/11/2018,Online TA
15,383.2805,7,24.96735,121.54464,34.4,10/12/2018,Offline TA/TO
30.1,718.2937,3,24.97509,121.53644,55.3,10/13/2018,Online TA
5.9,90.45606,9,24.97433,121.5431,56.3,10/14/2018,Direct
19.2,461.1016,5,24.95425,121.5399,32.9,10/15/2018,Online TA
16.6,323.6912,6,24.97841,121.5428,51,10/16/2018,Online TA
13.9,289.3248,5,24.98203,121.54348,44.5,10/17/2018,Online TA
37.7,490.3446,0,24.97217,121.53471,37,10/18/2018,Online TA
3.4,56.47425,7,24.95744,121.53711,54.4,10/19/2018,Direct
17.5,395.6747,5,24.95674,121.534,24.5,10/20/2018,Online TA
12.6,383.2805,7,24.96735,121.54464,42.5,10/21/2018,Direct
26.4,335.5273,6,24.9796,121.5414,38.1,10/22/2018,Online TA
18.2,2179.59,3,24.96299,121.51252,21.8,10/23/2018,Corporate
12.5,1144.436,4,24.99176,121.53456,34.1,10/24/2018,Offline TA/TO
34.9,567.0349,4,24.97003,121.5458,28.5,10/25/2018,Online TA
16.7,4082.015,0,24.94155,121.50381,16.7,10/26/2018,Online TA
33.2,121.7262,10,24.98178,121.54059,46.1,10/27/2018,Online TA
2.5,156.2442,4,24.96696,121.53992,36.9,10/28/2018,Offline TA/TO
38,461.7848,0,24.97229,121.53445,35.7,10/29/2018,Online TA
16.5,2288.011,3,24.95885,121.51359,23.2,10/30/2018,Online TA
38.3,439.7105,0,24.97161,121.53423,38.4,10/31/2018,Direct
20,1626.083,3,24.96622,121.51668,29.4,11/1/2018,Online TA
16.2,289.3248,5,24.98203,121.54348,55,11/2/2018,Direct
14.4,169.9803,1,24.97369,121.52979,50.2,11/3/2018,Online TA
10.3,3079.89,0,24.9546,121.56627,24.7,11/4/2018,Online TA
16.4,289.3248,5,24.98203,121.54348,53,11/5/2018,Online TA
30.3,1264.73,0,24.94883,121.52954,19.1,11/6/2018,Online TA
16.4,1643.499,2,24.95394,121.55174,24.7,11/7/2018,Online TA
21.3,537.7971,4,24.97425,121.53814,42.2,11/8/2018,Online TA
35.4,318.5292,9,24.97071,121.54069,78,11/9/2018,Offline TA/TO
8.3,104.8101,5,24.96674,121.54067,42.8,11/10/2018,Offline TA/TO
3.7,577.9615,6,24.97201,121.54722,41.6,11/11/2018,Offline TA/TO
15.6,1756.411,2,24.9832,121.51812,27.3,11/12/2018,Direct
13.3,250.631,7,24.96606,121.54297,42,11/13/2018,Offline TA/TO
15.6,752.7669,2,24.97795,121.53451,37.5,11/14/2018,Offline TA/TO
7.1,379.5575,10,24.98343,121.53762,49.8,11/15/2018,Offline TA/TO
34.6,272.6783,5,24.95562,121.53872,26.9,11/16/2018,Offline TA/TO
13.5,4197.349,0,24.93885,121.50383,18.6,11/17/2018,Online TA
16.9,964.7496,4,24.98872,121.53411,37.7,11/18/2018,Offline TA/TO
12.9,187.4823,1,24.97388,121.52981,33.1,11/19/2018,Online TA
28.6,197.1338,6,24.97631,121.54436,42.5,11/20/2018,Online TA
12.4,1712.632,2,24.96412,121.5167,31.3,11/21/2018,Online TA
36.6,488.8193,8,24.97015,121.54494,38.1,11/22/2018,Online TA
4.1,56.47425,7,24.95744,121.53711,62.1,11/23/2018,Offline TA/TO
3.5,757.3377,3,24.97538,121.54971,36.7,11/24/2018,Offline TA/TO
15.9,1497.713,3,24.97003,121.51696,23.6,11/25/2018,Offline TA/TO
13.6,4197.349,0,24.93885,121.50383,19.2,11/26/2018,Offline TA/TO
32,1156.777,0,24.94935,121.53046,12.8,11/27/2018,Online TA
25.6,4519.69,0,24.94826,121.49587,15.6,11/28/2018,Online TA
39.8,617.7134,2,24.97577,121.53475,39.6,11/29/2018,Online TA
7.8,104.8101,5,24.96674,121.54067,38.4,11/30/2018,Online TA
30,1013.341,5,24.99006,121.5346,22.8,12/1/2018,Online TA
27.3,337.6016,6,24.96431,121.54063,36.5,12/2/2018,Online TA
5.1,1867.233,2,24.98407,121.51748,35.6,12/3/2018,Offline TA/TO
31.3,600.8604,5,24.96871,121.54651,30.9,12/4/2018,Online TA
31.5,258.186,9,24.96867,121.54331,36.3,12/5/2018,Online TA
1.7,329.9747,5,24.98254,121.54395,50.4,12/6/2018,Offline TA/TO
33.6,270.8895,0,24.97281,121.53265,42.9,12/7/2018,Online TA
13,750.0704,2,24.97371,121.54951,37,12/8/2018,Direct
5.7,90.45606,9,24.97433,121.5431,53.5,12/9/2018,Offline TA/TO
33.5,563.2854,8,24.98223,121.53597,46.6,12/10/2018,Online TA
34.6,3085.17,0,24.998,121.5155,41.2,12/11/2018,Online TA
0,185.4296,0,24.9711,121.5317,37.9,12/12/2018,Online TA
13.2,1712.632,2,24.96412,121.5167,30.8,12/13/2018,Online TA
17.4,6488.021,1,24.95719,121.47353,11.2,12/14/2018,Offline TA/TO
4.6,259.6607,6,24.97585,121.54516,53.7,12/15/2018,Online TA
7.8,104.8101,5,24.96674,121.54067,47,12/16/2018,Online TA
13.2,492.2313,5,24.96515,121.53737,42.3,12/17/2018,Online TA
4,2180.245,3,24.96324,121.51241,28.6,12/18/2018,Online TA
18.4,2674.961,3,24.96143,121.50827,25.7,12/19/2018,Online TA
4.1,2147.376,3,24.96299,121.51284,31.3,12/20/2018,Online TA
12.2,1360.139,1,24.95204,121.54842,30.1,12/21/2018,Direct
3.8,383.8624,5,24.98085,121.54391,60.7,12/22/2018,Online TA
10.3,211.4473,1,24.97417,121.52999,45.3,12/23/2018,Online TA
0,338.9679,9,24.96853,121.54413,44.9,12/24/2018,Online TA
1.1,193.5845,6,24.96571,121.54089,45.1,12/25/2018,Online TA
5.6,2408.993,0,24.95505,121.55964,24.7,12/26/2018,Online TA
32.9,87.30222,10,24.983,121.54022,47.1,12/27/2018,Online TA
41.4,281.205,8,24.97345,121.54093,63.3,12/28/2018,Online TA
17.1,967.4,4,24.98872,121.53408,40,12/29/2018,Direct
32.3,109.9455,10,24.98182,121.54086,48,12/30/2018,Corporate
35.3,614.1394,7,24.97913,121.53666,33.1,12/31/2018,Offline TA/TO
17.3,2261.432,4,24.96182,121.51222,29.5,1/1/2019,Direct
14.2,1801.544,1,24.95153,121.55254,24.8,1/2/2019,Direct
15,1828.319,2,24.96464,121.51531,20.9,1/3/2019,Offline TA/TO
18.2,350.8515,1,24.97544,121.53119,43.1,1/4/2019,Direct
20.2,2185.128,3,24.96322,121.51237,22.8,1/5/2019,Online TA
15.9,289.3248,5,24.98203,121.54348,42.1,1/6/2019,Online TA
4.1,312.8963,5,24.95591,121.53956,51.7,1/7/2019,Online TA
33.9,157.6052,7,24.96628,121.54196,41.5,1/8/2019,Direct
0,274.0144,1,24.9748,121.53059,52.2,1/9/2019,Direct
